50	34	21	30	55	75	91	113	130	145	150	148	140	131	122	105	99	85	81	75	85	84	90	80
65	112	115	111	121	141	145	143	130	127	139	143	141	134	133	115	93	74	67	65	75	66	86	53
97	91	77	65	62	57	39.2	29.5	35.5	36	36.9	34.9	34	29	26	31	22.7	10.9	19.5	40.8	46.6	56.7	80.5	95.3



50	34	21	30	55	74.9991	90.9201	111.07	122.748	129.583	131.241	130.61	127.636	123.301	117.786	104.217	98.6643	84.9798	80.9933	74.9991	84.9798	83.9845	89.9352	79.995
65	109.466	111.694	108.694	115.738	125.329	126.621	125.997	120.76	119.223	124.614	125.997	125.329	122.608	122.167	111.694	92.7796	73.9982	66.9999	65	74.9975	66	85.9451	53
77.4128	76.2863	71.457	63.7348	61.2545	56.7499	39.1999	29.5	35.5	36	36.9	34.9	34	29	26	31	22.7	10.9	19.5	40.7997	46.5927	56.4681	73.0321	77.1347


195.802	242.134	245.526	241.701	251.905	271.65	275.596	273.573	260.757	257.031	269.865	273.573	271.65	264.822	263.61	245.526	223.366	204.526	197.449	195.802	205.066	196.9	216.726	183.069



196	247.52	252	246.96	260.96	296.24	305.76	300.72	274.96	268.8	292.32	300.72	296.24	282.24	280	252	225.12	204.96	197.68	196	205.52	197.12	217.84	183.12
